"country","city","street","housenumber"
"AM","Երևան","Հալաբյան փողոց","35"
"AM","Երևան","Հալաբյան փողոց","36"
"AM","Երևան","Հալաբյան փողոց","37"
"AM","Երևան","Հալաբյան փողոց","38"
"AM","Երևան","Հալաբյան փողոց","39"
"AM","Երևան","Հալաբյան փողոց","41"
"AM","Երևան","Հալաբյան փողոց","45"
"AM","Երևան","Հալաբյան փողոց","47"
"AM","Երևան","Հալաբյան փողոց","49"
"AM","Երևան","Հալաբյան փողոց","5"
"AM","Երևան","Հալաբյան փողոց","51"
"AM","Երևան","Հալաբյան փողոց","53"
"AM","Երևան","Հալաբյան փողոց","55"
"AM","Երևան","Հալաբյան փողոց","57"
"AM","Երևան","Հալաբյան փողոց","59"
"AM","Երևան","Հալաբյան փողոց","7"
"AM","Երևան","Հալաբյան փողոց","9"
"AM","Երևան","Հալաբյան փողոց","9/1"
"AM","Երևան","Հակոբ Հակոբյան փողոց","10"
"AM","Երևան","Հակոբ Հակոբյան փողոց","11"
"AM","Երևան","Հակոբ Հակոբյան փողոց","12"
"AM","Երևան","Հակոբ Հակոբյան փողոց","2"
"AM","Երևան","Հակոբ Հակոբյան փողոց","3"
"AM","Երևան","Հակոբ Հակոբյան փողոց","4"
"AM","Երևան","Հակոբ Հակոբյան փողոց","6"
"AM","Երևան","Հակոբ Հակոբյան փողոց","7"
"AM","Երևան","Հակոբ Հակոբյան փողոց","8"
"AM","Երևան","Հակոբ Հակոբյան փողոց","9"
"AM","Երևան","Հանրապետության փողոց","20"
"AM","Երևան","Հանրապետության փողոց","22"
"AM","Երևան","Հանրապետության փողոց","24"
"AM","Երևան","Հանրապետության փողոց","32"
"AM","Երևան","Հանրապետության փողոց","38"
"AM","Երևան","Հանրապետության փողոց","39"
"AM","Երևան","Հանրապետության փողոց","49"
"AM","Երևան","Հանրապետության փողոց","58"
"AM","Երևան","Հանրապետության փողոց","59"
"AM","Երևան","Հանրապետության փողոց","61"
"AM","Երևան","Հանրապետության փողոց","62"
"AM","Երևան","Հանրապետության փողոց","64"
"AM","Երևան","Հանրապետության փողոց","67"
"AM","Երևան","Հանրապետության փողոց","71"
"AM","Երևան","Հանրապետության փողոց","73"
"AM","Երևան","Հանրապետության փողոց","74"
"AM","Երևան","Հանրապետության փողոց","76"
"AM","Երևան","Հանրապետության փողոց","76/1"
"AM","Երևան","Հանրապետության փողոց","76/2"
"AM","Երևան","Հանրապետության փողոց","76/3"
"AM","Երևան","Հանրապետության փողոց","78"
"AM","Երևան","Հանրապետության փողոց","79"
"AM","Երևան","Հանրապետության փողոց","80"
"AM","Երևան","Հանրապետության փողոց","81"
"AM","Երևան","Հանրապետության փողոց","82"
"AM","Երևան","Հանրապետության փողոց","83"
"AM","Երևան","Հանրապետության փողոց","85"
"AM","Երևան","Հին Երևանցու փողոց","2"
"AM","Երևան","Հին Երևանցու փողոց","3"
"AM","Երևան","Հին Երևանցու փողոց","37"
"AM","Երևան","Հյուսիսային պողոտա","4"
"AM","Երևան","Հյուսիսային պողոտա","6"
"AM","Երևան","Հովհաննես Շիրազի փողոց","10"
"AM","Երևան","Հովհաննես Շիրազի փողոց","14"
"AM","Երևան","Հովհաննես Շիրազի փողոց","26"
"AM","Երևան","Հովհաննես Շիրազի փողոց","44"
"AM","Երևան","Հովհաննես Շիրազի փողոց","46"
"AM","Երևան","Հովհաննես Շիրազի փողոց","48"
"AM","Երևան","Հովհաննիսյան փողոց","10"
"AM","Երևան","Հովհաննիսյան փողոց","12"
"AM","Երևան","Հովհաննիսյան փողոց","18"
"AM","Երևան","Հովսեփ Արղության փողոց","25"
"AM","Երևան","Հովսեփ Արղության փողոց","27"
"AM","Երևան","Հովսեփ Արղության փողոց","29"
"AM","Երևան","Հովսեփ Արղության փողոց","38"
"AM","Երևան","Հովսեփ Արղության փողոց","40"
"AM","Երևան","Հովսեփ Էմինի փողոց","2/1"
"AM","Երևան","Հովսեփ Էմինի փողոց","2/2"
"AM","Երևան","Հունան Ավետիսյան փողոց","1"
"AM","Երևան","Հունան Ավետիսյան փողոց","10"
"AM","Երևան","Հունան Ավետիսյան փողոց","11"
"AM","Երևան","Հունան Ավետիսյան փողոց","12"
"AM","Երևան","Հունան Ավետիսյան փողոց","13"
"AM","Երևան","Հունան Ավետիսյան փողոց","14"
"AM","Երևան","Հունան Ավետիսյան փողոց","15"
"AM","Երևան","Հունան Ավետիսյան փողոց","16"
"AM","Երևան","Հունան Ավետիսյան փողոց","17"
"AM","Երևան","Հունան Ավետիսյան փողոց","18"
"AM","Երևան","Հունան Ավետիսյան փողոց","19"
"AM","Երևան","Հունան Ավետիսյան փողոց","2"
"AM","Երևան","Հունան Ավետիսյան փողոց","20"
"AM","Երևան","Հունան Ավետիսյան փողոց","22"
"AM","Երևան","Հունան Ավետիսյան փողոց","23"
"AM","Երևան","Հունան Ավետիսյան փողոց","24"
"AM","Երևան","Հունան Ավետիսյան փողոց","25"
"AM","Երևան","Հունան Ավետիսյան փողոց","26"
"AM","Երևան","Հունան Ավետիսյան փողոց","27"
"AM","Երևան","Հունան Ավետիսյան փողոց","28"
"AM","Երևան","Հունան Ավետիսյան փողոց","29"
"AM","Երևան","Հունան Ավետիսյան փողոց","3"
"AM","Երևան","Հունան Ավետիսյան փողոց","30"
"AM","Երևան","Հունան Ավետիսյան փողոց","31"
"AM","Երևան","Հունան Ավետիսյան փողոց","32"
"AM","Երևան","Հունան Ավետիսյան փողոց","33"
"AM","Երևան","Հունան Ավետիսյան փողոց","34"
"AM","Երևան","Հունան Ավետիսյան փողոց","35"
"AM","Երևան","Հունան Ավետիսյան փողոց","36"
"AM","Երևան","Հունան Ավետիսյան փողոց","37"
"AM","Երևան","Հունան Ավետիսյան փողոց","38"
"AM","Երևան","Հունան Ավետիսյան փողոց","39"
"AM","Երևան","Հունան Ավետիսյան փողոց","4"
"AM","Երևան","Հունան Ավետիսյան փողոց","40"
"AM","Երևան","Հունան Ավետիսյան փողոց","41"
"AM","Երևան","Հունան Ավետիսյան փողոց","47"
"AM","Երևան","Հունան Ավետիսյան փողոց","48"
"AM","Երևան","Հունան Ավետիսյան փողոց","49"
"AM","Երևան","Հունան Ավետիսյան փողոց","5"
"AM","Երևան","Հունան Ավետիսյան փողոց","58"
"AM","Երևան","Հունան Ավետիսյան փողոց","6"
"AM","Երևան","Հունան Ավետիսյան փողոց","7"
"AM","Երևան","Հունան Ավետիսյան փողոց","8"
"AM","Երևան","Հունան Ավետիսյան փողոց","84"
"AM","Երևան","Հունան Ավետիսյան փողոց","9"
"AM","Երևան","Հրաչյա Աճառյան փողոց","20"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","1"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","10"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","10a"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","12/6"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","14/1"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","2"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","3"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","4"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","5"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","6"
"AM","Երևան","Հրաչյա Ներսիսյան փողոց","8"
"AM","Երևան","Հրաչյա Քոչար փողոց","1"
"AM","Երևան","Հրաչյա Քոչար փողոց","10"
"AM","Երևան","Հրաչյա Քոչար փողոց","11"
"AM","Երևան","Հրաչյա Քոչար փողոց","12"
"AM","Երևան","Հրաչյա Քոչար փողոց","13"
"AM","Երևան","Հրաչյա Քոչար փողոց","14"
"AM","Երևան","Հրաչյա Քոչար փողոց","15"
"AM","Երևան","Հրաչյա Քոչար փողոց","16"
"AM","Երևան","Հրաչյա Քոչար փողոց","16/1"
"AM","Երևան","Հրաչյա Քոչար փողոց","17"
"AM","Երևան","Հրաչյա Քոչար փողոց","19"
"AM","Երևան","Հրաչյա Քոչար փողոց","20"
"AM","Երևան","Հրաչյա Քոչար փողոց","21"
"AM","Երևան","Հրաչյա Քոչար փողոց","22"
"AM","Երևան","Հրաչյա Քոչար փողոց","24"
"AM","Երևան","Հրաչյա Քոչար փողոց","4"
"AM","Երևան","Հրաչյա Քոչար փողոց","5"
"AM","Երևան","Հրաչյա Քոչար փողոց","6"
"AM","Երևան","Հրաչյա Քոչար փողոց","7"
"AM","Երևան","Հրաչյա Քոչար փողոց","8"
"AM","Երևան","Հրաչյա Քոչար փողոց","9"
"AM","Երևան","Ղափանցյան փողոց","5"
"AM","Երևան","Մազմանյան փողոց","10"
"AM","Երևան","Մազմանյան փողոց","12"
"AM","Երևան","Մազմանյան փողոց","14"
"AM","Երևան","Մազմանյան փողոց","16"
"AM","Երևան","Մազմանյան փողոց","18"
"AM","Երևան","Մազմանյան փողոց","20"
"AM","Երևան","Մազմանյան փողոց","22"
"AM","Երևան","Մազմանյան փողոց","5"
"AM","Երևան","Մազմանյան փողոց","6"
"AM","Երևան","Մազմանյան փողոց","8"
"AM","Երևան","Մաիսյան փողոց","33a"
"AM","Երևան","Մալխասյանց նրբանցք","1"
"AM","Երևան","Մալխասյանց նրբանցք","3"
"AM","Երևան","Մալյան նրբանցք","1"
"AM","Երևան","Մալյան նրբանցք","10"
"AM","Երևան","Մալյան նրբանցք","11"
"AM","Երևան","Մալյան նրբանցք","2"
"AM","Երևան","Մալյան նրբանցք","3"
"AM","Երևան","Մալյան նրբանցք","5"
"AM","Երևան","Մալյան նրբանցք","7(14)"
"AM","Երևան","Մալյան նրբանցք","8"
"AM","Երևան","Մալյան նրբանցք","9"
"AM","Երևան","Մալյան փողոց","2"
"AM","Երևան","Մալյան փողոց","20-22"
"AM","Երևան","Մալյան փողոց","24"
"AM","Երևան","Մալյան փողոց","4"
"AM","Երևան","Մալյան փողոց","6"
"AM","Երևան","Մամիկոնյանց փողոց","1"
"AM","Երևան","Մամիկոնյանց փողոց","23"
"AM","Երևան","Մամիկոնյանց փողոց","25"
"AM","Երևան","Մամիկոնյանց փողոց","27"
"AM","Երևան","Մամիկոնյանց փողոց","27a"
"AM","Երևան","Մամիկոնյանց փողոց","29"
"AM","Երևան","Մամիկոնյանց փողոց","3"
"AM","Երևան","Մամիկոնյանց փողոց","30"
"AM","Երևան","Մամիկոնյանց փողոց","32"
"AM","Երևան","Մամիկոնյանց փողոց","34a"
"AM","Երևան","Մամիկոնյանց փողոց","34g"
"AM","Երևան","Մամիկոնյանց փողոց","35"
"AM","Երևան","Մամիկոնյանց փողոց","36"
"AM","Երևան","Մամիկոնյանց փողոց","36/1"
"AM","Երևան","Մամիկոնյանց փողոց","36/2"
"AM","Երևան","Մամիկոնյանց փողոց","36/3"
"AM","Երևան","Մամիկոնյանց փողոց","36/5"
"AM","Երևան","Մամիկոնյանց փողոց","37"
"AM","Երևան","Մամիկոնյանց փողոց","38"
"AM","Երևան","Մամիկոնյանց փողոց","38/1"
"AM","Երևան","Մամիկոնյանց փողոց","38/3"
"AM","Երևան","Մամիկոնյանց փողոց","39"
"AM","Երևան","Մամիկոնյանց փողոց","39a"
"AM","Երևան","Մամիկոնյանց փողոց","40"
"AM","Երևան","Մամիկոնյանց փողոց","43"
"AM","Երևան","Մամիկոնյանց փողոց","44"
"AM","Երևան","Մամիկոնյանց փողոց","48"
"AM","Երևան","Մամիկոնյանց փողոց","49"
"AM","Երևան","Մամիկոնյանց փողոց","50"
"AM","Երևան","Մամիկոնյանց փողոց","54"
"AM","Երևան","Մամիկոնյանց փողոց","54/1"
"AM","Երևան","Մամիկոնյանց փողոց","58"
"AM","Երևան","Մամիկոնյանց փողոց","6"
"AM","Երևան","Մամիկոնյանց փողոց","6/1"
"AM","Երևան","Մամիկոնյանց փողոց","6/2"
"AM","Երևան","Մամիկոնյանց փողոց","60"
"AM","Երևան","Մամիկոնյանց փողոց","62"
"AM","Երևան","Մամիկոնյանց փողոց","8a"
"AM","Երևան","Մանանդյան փողոց","27a"
"AM","Երևան","Մանթաշյանի փողոց","1"
"AM","Երևան","Մանթաշյանի փողոց","10"
"AM","Երևան","Մանթաշյանի փողոց","10a"
"AM","Երևան","Մանթաշյանի փողոց","12"
"AM","Երևան","Մանթաշյանի փողոց","3"
"AM","Երևան","Մանթաշյանի փողոց","4/1"
"AM","Երևան","Մանթաշյանի փողոց","4/2"
"AM","Երևան","Մանթաշյանի փողոց","4/3"
"AM","Երևան","Մանթաշյանի փողոց","4/4"
"AM","Երևան","Մանթաշյանի փողոց","4/5"
"AM","Երևան","Մանթաշյանի փողոց","4/6"
"AM","Երևան","Մանթաշյանի փողոց","5"
"AM","Երևան","Մանթաշյանի փողոց","6"
"AM","Երևան","Մանթաշյանի փողոց","8"
"AM","Երևան","Մանուշյան փողոց","107"
"AM","Երևան","Մանուշյան փողոց","109"
"AM","Երևան","Մառի փողոց","6"
"AM","Երևան","Մարգարյան 1-ին նրբանցք","7"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","1"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","1/1"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","10"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","12"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","12/1 - 12ա"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","14"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","3"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","4"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","5"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","7"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","7/1"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","8"
"AM","Երևան","Մարգարյան 2-րդ նրբանցք","9"
"AM","Երևան","Մարգարյան փողոց","16"
"AM","Երևան","Մարգարյան փողոց","17"
"AM","Երևան","Մարգարյան փողոց","18"
"AM","Երևան","Մարգարյան փողոց","20"
"AM","Երևան","Մարգարյան փողոց","20/1"
"AM","Երևան","Մարգարյան փողոց","20/2"
"AM","Երևան","Մարգարյան փողոց","20/3"
"AM","Երևան","Մարգարյան փողոց","22"
"AM","Երևան","Մարգարյան փողոց","23"
"AM","Երևան","Մարգարյան փողոց","25"
"AM","Երևան","Մարգարյան փողոց","27"
"AM","Երևան","Մարգարյան փողոց","29"
"AM","Երևան","Մարգարյան փողոց","29/1"
"AM","Երևան","Մարգարյան փողոց","29/2"
"AM","Երևան","Մարգարյան փողոց","31"
"AM","Երևան","Մարգարյան փողոց","33"
"AM","Երևան","Մարգարյան փողոց","37"
"AM","Երևան","Մարգարյան փողոց","39"
"AM","Երևան","Մարգարյան փողոց","41"
"AM","Երևան","Մարգարյան փողոց","43"
"AM","Երևան","Մարգարյան փողոց","7"
"AM","Երևան","Մարշալ Բաբաջանյանի փողոց","1/9"
"AM","Երևան","Մարշալ Բաղրամյան պողոտա","70"
"AM","Երևան","Մարշալ Բաղրամյանի 2-րդ փակուղի","8"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","1"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","10"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","11"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","2"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","3"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","3/1"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","4"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","5"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","6"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","7"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","8"
"AM","Երևան","Մարշալ Բաղրամյանի 3-րդ նրբանցք","9"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","1"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","2"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","23"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","30"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","4"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","41"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","42"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","43"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","44"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","45"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","46"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","48"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","48A"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","49"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","50"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","50g"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","58"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","64"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","66"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","66/1"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","68"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","69"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","7"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","71"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","75"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","76"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","77"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","79"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","8"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","85"
"AM","Երևան","Մարշալ Բաղրամյանի պողոտա","89"
"AM","Երևան","Մարշալ Խուդյակովի փողոց","70"
"AM","Երևան","Մելքումովի փողոց","14"
"AM","Երևան","Մելքումովի փողոց","15"
"AM","Երևան","Մելքումովի փողոց","16"
"AM","Երևան","Մելքումովի փողոց","17"
"AM","Երևան","Մելքումովի փողոց","18"
"AM","Երևան","Մելքումովի փողոց","19"
"AM","Երևան","Մելքումովի փողոց","20"
"AM","Երևան","Մելքումովի փողոց","21"
"AM","Երևան","Մելքումովի փողոց","23"
"AM","Երևան","Մելքումովի փողոց","24"
"AM","Երևան","Մելքումովի փողոց","25"
"AM","Երևան","Մելքումովի փողոց","26"
"AM","Երևան","Մելքումովի փողոց","27"
"AM","Երևան","Մելքումովի փողոց","29"
"AM","Երևան","Մելքումովի փողոց","30"
"AM","Երևան","Մելքումովի փողոց","31"
"AM","Երևան","Մելքումովի փողոց","32"
"AM","Երևան","Մելքումովի փողոց","33"
"AM","Երևան","Մելքումովի փողոց","34"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","10"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","11"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","14"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","17"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","18"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","19"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","2"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","20"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","21"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","23"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","25"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","27A"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","3"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","39"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","41"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","43"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","45"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","45a"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","48"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","48a"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","5/2"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","50"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","51"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","52"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","54"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","58"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","5դ"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","6"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","60"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","8"
"AM","Երևան","Մեսրոպ Մաշտոցի պողոտա","9"
"AM","Երևան","Մինաս Ավետիսյան 2 փողոց","11"
"AM","Երևան","Մինաս Ավետիսյան 2 փողոց","11a"
"AM","Երևան","Մինաս Ավետիսյան 2 փողոց","13"
"AM","Երևան","Մինաս Ավետիսյան 2 փողոց","13a"
"AM","Երևան","Մինաս Ավետիսյան 2 փողոց","15"
"AM","Երևան","Մինաս Ավետիսյան 2 փողոց","15a"
"AM","Երևան","Մինաս Ավետիսյան 2 փողոց","17"
"AM","Երևան","Մինաս Ավետիսյան 2 փողոց","17a"
"AM","Երևան","Մինաս Ավետիսյան փողոց","28"
"AM","Երևան","Մինաս Ավետիսյան փողոց","4"
"AM","Երևան","Մինաս Ավետիսյան փողոց","4a"
"AM","Երևան","Մինաս Ավետիսյան փողոց","6"
"AM","Երևան","Մինաս Ավետիսյան փողոց","6a"
"AM","Երևան","Մինաս Ավետիսյան փողոց","8"
"AM","Երևան","Մինաս Ավետիսյան փողոց","8a"
"AM","Երևան","Մոլդովական փողոց","10"
"AM","Երևան","Մոլդովական փողոց","12(84)"
"AM","Երևան","Մոլդովական փողոց","13"
"AM","Երևան","Մոլդովական փողոց","14"
"AM","Երևան","Մոլդովական փողոց","15"
"AM","Երևան","Մոլդովական փողոց","17"
"AM","Երևան","Մոլդովական փողոց","19"
"AM","Երևան","Մոլդովական փողոց","2"
"AM","Երևան","Մոլդովական փողոց","2/1(93)"
"AM","Երևան","Մոլդովական փողոց","2/2(90)"
"AM","Երևան","Մոլդովական փողոց","2/3(89)"
"AM","Երևան","Մոլդովական փողոց","2/4"
"AM","Երևան","Մոլդովական փողոց","21"
"AM","Երևան","Մոլդովական փողոց","23"
"AM","Երևան","Մոլդովական փողոց","25"
"AM","Երևան","Մոլդովական փողոց","25/1"
"AM","Երևան","Մոլդովական փողոց","25/2"
"AM","Երևան","Մոլդովական փողոց","25/3"
"AM","Երևան","Մոլդովական փողոց","25/4"
"AM","Երևան","Մոլդովական փողոց","26/2"
"AM","Երևան","Մոլդովական փողոց","27"
"AM","Երևան","Մոլդովական փողոց","3"
"AM","Երևան","Մոլդովական փողոց","4"
"AM","Երևան","Մոլդովական փողոց","4(G)"
"AM","Երևան","Մոլդովական փողոց","4/1-(92)"
"AM","Երևան","Մոլդովական փողոց","4/2"
"AM","Երևան","Մոլդովական փողոց","44"
"AM","Երևան","Մոլդովական փողոց","44/1"
"AM","Երևան","Մոլդովական փողոց","44/2"
"AM","Երևան","Մոլդովական փողոց","44/3"
"AM","Երևան","Մոլդովական փողոց","44/4"
"AM","Երևան","Մոլդովական փողոց","46/1"
"AM","Երևան","Մոլդովական փողոց","48"
"AM","Երևան","Մոլդովական փողոց","48/1"
"AM","Երևան","Մոլդովական փողոց","48/2"
"AM","Երևան","Մոլդովական փողոց","48/3"
"AM","Երևան","Մոլդովական փողոց","50"
"AM","Երևան","Մոլդովական փողոց","50/1"
"AM","Երևան","Մոլդովական փողոց","50/4"
"AM","Երևան","Մոլդովական փողոց","6"
"AM","Երևան","Մոլդովական փողոց","6/1(87)"
"AM","Երևան","Մոլդովական փողոց","6/2"
"AM","Երևան","Մոլդովական փողոց","7(7a)"
"AM","Երևան","Մոլդովական փողոց","8"
"AM","Երևան","Մոլդովական փողոց","8/1"
"AM","Երևան","Մոսկովյան փողոց","10"
"AM","Երևան","Մոսկովյան փողոց","12"
"AM","Երևան","Մոսկովյան փողոց","18"
"AM","Երևան","Մոսկովյան փողոց","19"
"AM","Երևան","Մոսկովյան փողոց","20"
"AM","Երևան","Մոսկովյան փողոց","21"
"AM","Երևան","Մոսկովյան փողոց","22"
"AM","Երևան","Մոսկովյան փողոց","23"
"AM","Երևան","Մոսկովյան փողոց","24"
"AM","Երևան","Մոսկովյան փողոց","25"
"AM","Երևան","Մոսկովյան փողոց","27"
"AM","Երևան","Մոսկովյան փողոց","28"
"AM","Երևան","Մոսկովյան փողոց","31"
"AM","Երևան","Մոսկովյան փողոց","33"
"AM","Երևան","Մոսկովյան փողոց","36"
"AM","Երևան","Մոսկովյան փողոց","38"
"AM","Երևան","Մոսկովյան փողոց","5"
"AM","Երևան","Մոսկովյան փողոց","7"
"AM","Երևան","Մոսկովյան փողոց","8"
"AM","Երևան","Մոսկովյան փողոց","9"
"AM","Երևան","Մուրացանի փողոց","109"
"AM","Երևան","Մուրացանի փողոց","113/1"
"AM","Երևան","Մուրացանի փողոց","113/2"
"AM","Երևան","Մուրացանի փողոց","113/3"
"AM","Երևան","Մուրացանի փողոց","114"
"AM","Երևան","Մուրացանի փողոց","117"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","11"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","12"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","13"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","14"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","15"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","16"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","16a"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","18"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","19"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","21"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","22"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","26"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","28"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","31"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","31a"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","4"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","5"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","6"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","6a"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","7"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","8"
"AM","Երևան","Նազարբեկյան (17-րդ թաղամաս)","9"
"AM","Երևան","Նազարեթ Սուրենյան փողոց","11ա"
"AM","Երևան","Նազարեթ Սուրենյան փողոց","11բ"
"AM","Երևան","Նաիրի Զարյան փողոց","140"
"AM","Երևան","Նաիրի Զարյան փողոց","27"
"AM","Երևան","Նաիրի Զարյան փողոց","73"
"AM","Երևան","Նաիրի Զարյան փողոց","73/1"
"AM","Երևան","Նալբանդյան փողոց","102"
"AM","Երևան","Նալբանդյան փողոց","104"
"AM","Երևան","Նալբանդյան փողոց","106"
"AM","Երևան","Նալբանդյան փողոց","108"
"AM","Երևան","Նալբանդյան փողոց","110"
